物种名,观测地区,观测条数
鸿雁,云南,27
鸿雁,四川,2
鸿雁,福建,139
鸿雁,湖北,373
鸿雁,陕西,5
鸿雁,浙江,103
鸿雁,北京,3394
鸿雁,江西,1587
鸿雁,新疆,14
鸿雁,江苏,213
鸿雁,上海,171
鸿雁,湖南,118
鸿雁,河南,87
鸿雁,重庆,3
鸿雁,山东,474
鸿雁,河北,432
鸿雁,辽宁,182
鸿雁,安徽,137
鸿雁,青海,9
鸿雁,内蒙古,219
鸿雁,天津,110
鸿雁,山西,45
鸿雁,吉林,26
鸿雁,黑龙江,26
鸿雁,宁夏,3
豆雁,四川,5
豆雁,广东,5
豆雁,福建,150
豆雁,湖北,571
豆雁,陕西,28
豆雁,浙江,522
豆雁,北京,517
豆雁,江西,1526
豆雁,新疆,131
豆雁,江苏,825
豆雁,甘肃,5
豆雁,上海,313
豆雁,湖南,169
豆雁,河南,114
豆雁,重庆,1
豆雁,山东,678
豆雁,河北,307
豆雁,辽宁,172
豆雁,安徽,309
豆雁,青海,14
豆雁,内蒙古,146
豆雁,香港,1
豆雁,天津,265
豆雁,山西,71
豆雁,吉林,166
豆雁,黑龙江,41
豆雁,宁夏,12
灰雁,云南,201
灰雁,四川,125
灰雁,广西,1
灰雁,福建,68
灰雁,湖北,699
灰雁,陕西,134
灰雁,浙江,135
灰雁,北京,1406
灰雁,西藏,8
灰雁,江西,1336
灰雁,新疆,935
灰雁,江苏,456
灰雁,甘肃,31
灰雁,上海,214
灰雁,贵州,10
灰雁,湖南,127
灰雁,河南,32
灰雁,重庆,15
灰雁,山东,712
灰雁,河北,270
灰雁,辽宁,52
灰雁,安徽,258
灰雁,青海,208
灰雁,内蒙古,375
灰雁,天津,334
灰雁,山西,60
灰雁,吉林,38
灰雁,黑龙江,24
灰雁,宁夏,23
白额雁,云南,18
白额雁,四川,22
白额雁,广东,3
白额雁,广西,2
白额雁,福建,282
白额雁,湖北,236
白额雁,陕西,12
白额雁,浙江,623
白额雁,北京,53
白额雁,西藏,4
白额雁,江西,1375
白额雁,新疆,32
白额雁,江苏,331
白额雁,上海,145
白额雁,贵州,2
白额雁,湖南,57
白额雁,河南,93
白额雁,山东,290
白额雁,河北,126
白额雁,辽宁,116
白额雁,安徽,140
白额雁,青海,9
白额雁,内蒙古,39
白额雁,天津,23
白额雁,山西,18
白额雁,吉林,173
白额雁,黑龙江,28
白额雁,宁夏,1
斑头雁,云南,216
斑头雁,四川,131
斑头雁,广西,2
斑头雁,福建,3
斑头雁,湖北,66
斑头雁,陕西,60
斑头雁,西藏,392
斑头雁,江西,148
斑头雁,新疆,36
斑头雁,江苏,37
斑头雁,甘肃,107
斑头雁,贵州,56
斑头雁,湖南,9
斑头雁,河南,13
斑头雁,重庆,16
斑头雁,河北,39
斑头雁,安徽,17
斑头雁,青海,756
斑头雁,内蒙古,12
斑头雁,山西,38
斑头雁,宁夏,4
